55000	Davis, J. Watson	Mark Manning's Mission: The Story of a Shoe Factory Boy	2017-06-28	PZ|Shoemakers -- Juvenile fiction|Conduct of life -- Juvenile fiction|Poverty -- Juvenile fiction|Bildungsromans|Hermits -- Juvenile fiction|Success -- Juvenile fiction|Middle West -- Juvenile fiction|Youth -- Conduct of life -- Juvenile fiction|Factories -- Juvenile fiction
55100	Trollope, Anthony	The West Indies and the Spanish Main	2017-07-15	F1601|Spanish Main|Central America -- Description and travel|West Indies -- Description and travel|West Indies, British -- Description and travel
55200	Graham, G. F. (George Frederick)	A Book About Words	2017-07-25	PE|English language -- Etymology
55300	McAllister, Ward	Society as I Have Found It	2017-08-08	CT|McAllister, Ward, 1827-1895|Socialites -- New York (State) -- New York -- Biography
55400	Brown, Arthur William	Common Cause: A Novel of the War in America	2017-08-21	PS|World War, 1914-1918 -- United States -- Fiction
55500	Gibran, Kahlil	Twenty Drawings	2017-09-07	NC|Gibran, Kahlil, 1883-1931
55600	Talvio, Maila	Kustaa Vaasa ja hänen aikalaisensa I: Ruotsin vapauttaja Historiallis-romanttinen kuvaus	2017-09-22	PT|Gustav I Vasa, King of Sweden, 1496-1560 -- Fiction|Historical fiction|Swedish fiction -- Translations into Finnish
55700	Dumée, Paul	Nouvel atlas de poche des champignons Comestibles et Vénéneux les plus répandus. Série II (Première édition)	2017-12-02	QK|Mushrooms
55800	Kottlowski, Frank Edward	Mosaic of New Mexico's Scenery, Rocks, and History	2017-10-24	F786|New Mexico -- History|Geology -- New Mexico|New Mexico -- Description and travel
55900	Rijpma, E. (Enneus)	Gids bij de studie der Nederlandsche letterkunde Voor leerlingen der gymnasia, H. B. scholen en studeerenden voor de hoofdacte	2017-11-07	PT|Flemish literature -- History and criticism|Dutch literature -- History and criticism
56000	Elliot, Daniel Giraud	Schetsen uit de Dierenwereld	2017-11-19	Animals|Animals -- Pictorial work|QL
56100	Eells, Myron	Ten years of missionary work among the Indians at Skokomish, Washington Territory, 1874-1884	2017-12-01	Missions -- Washington (State)|E011|Skokomish Indian Reservation (Wash.)|Clallam Indians -- Missions|Twana Indians -- Missions
56200	Florio, John	Queen Anna's New World of Words; or, Dictionarie of the Italian and English Tongues	2017-12-18	Italian language -- Dictionaries -- English -- Early works to 1800|English language -- Dictionaries -- Italian -- Early works to 1800|PC|Italian language -- Grammar -- Early works to 1800
56300	Carman, Bliss	Low Tide on Grand Pré: A Book of Lyrics	2018-01-03	Canadian poetry -- 19th century|Grand Pré (N.S.) -- Description and travel -- Poetry|PS
56400	Macilwain, George	Memoirs of John Abernethy With a View of His Lectures, His Writings, and Character; with Additional Extracts from Original Documents, Now First Published	2018-01-19	Physicians -- Great Britain -- Biography|Abernethy, John, 1764-1831|R
56500	Garibaldi, Giuseppe	Memorie: Edizione diplomatica dall'autografo definitivo	2018-02-05	DG|Garibaldi, Giuseppe, 1807-1882
56600	Smedley, Frank E. (Frank Edward)	Lewis Arundel; Or, The Railroad Of Life	2018-02-18	English fiction -- 19th century|PR
56700	Penrose, Charles W. (Charles William)	"Mormon" Doctrine Plain and Simple; Or, Leaves from the Tree of Life	2018-03-07	BX|Mormon Church -- Doctrines|Church of Jesus Christ of Latter-day Saints -- Doctrines
56800	Hayward, Victoria	Romantic Canada	2018-03-20	F1001|Canada -- Social life and customs|Canada -- Description and travel
56900	Praeger, R. Lloyd (Robert Lloyd)	Aspects of plant life; with special reference to the British flora	2018-04-02	Plants -- Great Britain|QK
57000	Riesenberg, Sidney H.	The Boy Aeronauts' Club; or, Flying for Fun	2018-04-19	PZ|Aeronautics -- Juvenile fiction
57100	Wells, Helen	The Clue of the Gold Coin	2018-05-06	Barr, Vicki (Fictitious character) -- Juvenile fiction|Mystery and detective stories|Women detectives -- Juvenile fiction|Swindlers and swindling -- Juvenile fiction|Tampa (Fla.) -- Description and travel -- Juvenile fiction|PZ|Flight attendants -- Juvenile fiction
57200	Chalmers, T. W. (Thomas Wightman)	The Gyroscopic Compass: A Non-Mathematical Treatment	2018-05-22	VK|Gyro compass
57300	Various	The American Missionary — Volume 41, No. 12, December, 1887	2018-06-10	Congregational churches -- Missions -- Periodicals|BV|Home missions -- Periodicals
57400	R. H. R.	Rambles in Istria, Dalmatia and Montenegro	2018-06-25	DR|Istria (Croatia and Slovenia) -- Description and travel|Montenegro -- Description and travel|Dalmatia (Croatia) -- Description and travel
57500	Gide, Charles	A History of Economic Doctrines from the time of the physiocrats to the present day	2018-07-13	HB|Economics -- History
57600	Inglis, Antoinette	The Chinese Kitten	2018-07-29	PZ|Families -- Juvenile fiction|New England -- Juvenile fiction
57700	Toronto News	Toronto by Gaslight: The Night Hawks of a Great City As Seen by the Reporters of "The Toronto News"	2018-08-15	Toronto (Ont.) -- Description and travel|F1001
57800	Bain, George W. (George William)	The Flow of Time in the Connecticut Valley: Geological Imprints	2018-08-29	Geology -- Connecticut River Valley|QE
57900	Adams, W. H. Davenport (William Henry Davenport)	Lighthouses and Lightships A Descriptive and Historical Account of Their Mode of Construction and Organization	2018-09-15	TC|Lighthouses|Lightships
